Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B11,WT-116:S057,wood,don,12,BLK:24 PLN:13 POS:06,MFV 03211,252.7,2/6/2014 23:53,2/7/2014 2:24,2:31:31,,,,,252.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,79,MFV 03211,BLK:24 PLN:13 POS:06,252.70
T59-B11,WT-116:S057,wood,don,12,BLK:24 PLN:13 POS:07,MFV 10223,195.5,2/7/2014 2:25,2/7/2014 9:45,7:20:12,swap,T59-B11,WT-169:S0,57.2,252.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,80,MFV 10223,BLK:24 PLN:13 POS:07,252.70
T59-B11,WT-116:S057,wood,don,10,BLK:24 PLN:13 POS:08,MFV 00254,247,2/6/2014 22:35,2/7/2014 0:49,2:14:22,,,,,247.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,81,MFV 00254,BLK:24 PLN:13 POS:08,247.00
T59-B11,WT-116:S057,wood,don,10,BLK:24 PLN:13 POS:09,MFV 00239,252.7,2/7/2014 0:49,2/7/2014 7:37,6:47:40,,,,,252.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,82,MFV 00239,BLK:24 PLN:13 POS:09,252.70
T59-B11,WT-116:S057,wood,don,11,BLK:24 PLN:13 POS:10,MFV 00047,252.6,2/6/2014 23:29,2/7/2014 2:11,2:42:25,,,,,252.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,83,MFV 00047,BLK:24 PLN:13 POS:10,252.60
T59-B11,WT-116:S057,wood,don,11,BLK:24 PLN:13 POS:11,MFV 10060,249.3,2/7/2014 2:11,2/7/2014 8:09,5:58:02,,,,,249.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,84,MFV 10060,BLK:24 PLN:13 POS:11,249.30
T59-B11,WT-116:S057,tommy,bill,6,BLK:24 PLN:15 POS:00,MFV 10221,7.3,2/7/2014 8:23,2/7/2014 11:21,2:57:59,swap,T59-B11,WT-169:S0,244,251.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,85,MFV 10221,BLK:24 PLN:15 POS:00,251.30
T59-B11,WT-169:S0,tommy,bill,6,BLK:24 PLN:15 POS:01,MFV 00893,252.7,2/7/2014 11:22,2/7/2014 14:20,2:57:59,,,,,252.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,86,MFV 00893,BLK:24 PLN:15 POS:01,252.70
T59-B11,WT-116:S057,wood,don,7,BLK:24 PLN:15 POS:02,MFV 10204,189.4,2/7/2014 2:43,2/7/2014 9:50,7:07:23,swap,T59-B11,WT-169:S0,59.1,248.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,87,MFV 10204,BLK:24 PLN:15 POS:02,248.50
T59-B11,WT-169:S0,tommy,bill,7,BLK:24 PLN:15 POS:03,MFV 03317,250.2,2/7/2014 9:50,2/7/2014 11:53,2:02:43,,,,,250.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,88,MFV 03317,BLK:24 PLN:15 POS:03,250.20
