Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B10,WT-165:S050,james,don,3,BLK:21 PLN:05 POS:05,MFV 01864,250.5,12/10/2013 2:28,12/10/2013 8:15,5:46:30,,,,,250.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 01864,BLK:21 PLN:05 POS:05,250.50
T64-B10,WT-164:S049,james,don,7,BLK:21 PLN:05 POS:06,MFV 03655,187.8,12/9/2013 23:04,12/10/2013 1:53,2:49:06,swap,T64-B10,WT-165:S050,61.6,249.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 03655,BLK:21 PLN:05 POS:06,249.40
T64-B10,WT-165:S050,james,don,7,BLK:21 PLN:05 POS:07,MFV 09687,249.1,12/10/2013 1:54,12/10/2013 7:49,5:55:07,,,,,249.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 09687,BLK:21 PLN:05 POS:07,249.10
T64-B10,WT-164:S049,james,don,8,BLK:21 PLN:05 POS:08,MFV 09699,162.3,12/9/2013 23:18,12/10/2013 2:10,2:51:32,swap,T64-B10,WT-165:S050,86,248.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 09699,BLK:21 PLN:05 POS:08,248.30
T64-B10,WT-165:S050,james,don,8,BLK:21 PLN:05 POS:09,MFV 03680,249.4,12/10/2013 2:10,12/10/2013 7:53,5:43:07,,,,,249.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 03680,BLK:21 PLN:05 POS:09,249.40
T64-B10,WT-164:S049,james,don,9,BLK:21 PLN:05 POS:10,MFV 02505,171.2,12/9/2013 23:15,12/10/2013 2:05,2:49:57,swap,T64-B10,WT-165:S050,81.3,252.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 02505,BLK:21 PLN:05 POS:10,252.50
T64-B10,WT-165:S050,james,don,9,BLK:21 PLN:05 POS:11,MFV 03550,249.8,12/10/2013 2:06,12/10/2013 7:48,5:42:09,,,,,249.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 03550,BLK:21 PLN:05 POS:11,249.80
T64-B10,WT-165:S050,Galvin,Jim,1,BLK:21 PLN:07 POS:00,MFV 03724,249.2,12/10/2013 8:21,12/10/2013 10:42,2:20:40,,,,,249.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 03724,BLK:21 PLN:07 POS:00,249.20
T64-B10,WT-165:S050,Galvin,Jim,1,BLK:21 PLN:07 POS:01,MFV 02492,252,12/10/2013 10:42,12/10/2013 13:02,2:20:16,,,,,252.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 02492,BLK:21 PLN:07 POS:01,252.00
T64-B10,WT-165:S050,Galvin,Jim,2,BLK:21 PLN:07 POS:02,MFV 03032,251.1,12/10/2013 7:51,12/10/2013 10:10,2:18:34,,,,,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 03032,BLK:21 PLN:07 POS:02,251.10
